0.0,300.0,500.0,300.0,250.0,400.0,Solid 0
300.0,300.0,500.0,200.0,0.0,0.0,Solid 1
-429.4,138.0,-87.399994,311.0,-268.4,357.0,Unnamed Solid
-87.399994,311.0,0.0,300.0,11.600006,378.0,Unnamed Solid
-268.4,357.0,11.600006,378.0,-87.399994,311.0,Unnamed Solid
-429.4,138.0,-636.4,139.0,-268.4,357.0,Unnamed Solid
-636.4,139.0,-876.4,300.0,-268.4,357.0,Unnamed Solid
11.600006,378.0,250.0,400.0,0.0,300.0,Unnamed Solid
857.6,411.0,500.0,300.0,250.0,400.0,Unnamed Solid
500.0,300.0,1099.6,416.0,857.6,411.0,Unnamed Solid
824.6,362.0,1163.6,255.0,1099.6,416.0,Unnamed Solid
1163.6,255.0,1199.6,74.0,1393.6,256.0,Unnamed Solid
1099.6,416.0,1393.6,256.0,1163.6,255.0,Unnamed Solid
1199.6,74.0,1571.6,165.0,1393.6,256.0,Unnamed Solid
